Siglas e Definições 323
Sigla	Definição	Ref.	Data	Ações
Condição de precisão intermediária	Condição de medição num conjunto de condições, as quais compreendem o mesmo procedimento de medição, o mesmo local e medições repetidas no mesmo objeto ou em objetos similares, ao longo de um período extenso de tempo, mas pode incluir outras condições que envolvam mudanças.	VIM 2012	17/04/2025	   
Condição de repetitividade de medição	Condição de medição num conjunto de condições, as quais compreendem o mesmo procedimento de medição, os mesmos operadores, o mesmo sistema de medição, as mesmas condições de operação e o mesmo local, assim como medições repetidas no mesmo objeto ou em objetos similares durante um curto período de tempo.	VIM 2012	17/04/2025	   
Confidencialidade	Ato de zelar pela propriedade da informação que não pode ser disponibilizada ou divulgada sem autorização. É a garantia do resguardo das informações acessadas e da proteção contra revelação não autorizada. Equivalente a Sigilo.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Cópia controlada	Cópia de um documento controlada por meio de lista mestra de documentos.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Cópia não controlada	Cópia de um documento que não é controlada e, portanto, não deve ser utilizada para realização de atividades rotineiras de trabalho (Ex.: cópias cedidas para estudo ou para conhecimento do procedimento em um determinado momento).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
CORH	Coordenadoria de Recursos Humanos	Decreto nº 66.417, de 30 de dezembro de 2021	17/04/2025	   
Correção	Ação para eliminar uma não conformidade identificada.	ABNT NBR ISO 9000:2015	17/04/2025	   
CPF	Cadastro de Pessoas Físicas	https://idg.receita.fazenda.gov.br/	17/04/2025	   
CPG	Comitê de Pós-Graduação	Regimento Interno do Programa de Pós-Graduação (03 de junho de 2015)	17/04/2025	   
CPRTI	Comissão Permanente do Regime de Tempo Integral - Comissão da Secretaria de Planejamento e Gestão do Governo do Estado de São Paulo composta por pesquisadores científicos escolhidos pelo governador a partir de listas recebidas após eleições especiais; suas atribuições são planejar, organizar e executar a avaliação da atividade científica e técnica dos pesquisadores científicos e os concursos para ingresso e acesso na carreira (Leis Complementares nº 125, de 18 de novembro de 1975, nº 335, de 22 de dezembro de l983, e nº 656, de 28 de junho de 1991 - Anexo 1), além de formular e propor regulamentação sobre aspectos referentes ao Regime de Tempo Integral e opinar decisivamente sobre a movimentação do pessoal científico.	https://pesquisador.planejamento.sp.gov.br/Home/Cprti	17/04/2025	   
CRM	Conselho Regional de Medicina.	www.cremesp.org.br/	17/04/2025	   
CTC	Centro de Tecnologia de Carnes	Decreto nº 46.488 de 8 de janeiro de 2002	17/04/2025	   
Custeio	Recursos financeiros necessários para aquisição de produtos não duráveis (material de consumo, drogas, reagentes, diárias, treinamentos, serviços terceirizados, combustíveis etc.). Despesas gerais não incluídas em investimentos ou pessoal.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Dados	Informações quantificáveis sobre um determinado assunto.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Declaração de Razoabilidade	É um documento emitido pelo fornecedor, no qual ele declara, sob as penas da lei, que os valores praticados estão de acordo com os valores praticados no mercado.	Definido pelo Centro de Atividade Administrativa.	17/04/2025	   
DEMEX	Divisão Estadual de Material Excedente.	http://www.saopaulo.sp.gov.br/	17/04/2025	   
DETIN	Departamento de Transportes Internos	www.gcti.sp.gov.br	17/04/2025	   
DF	Descrição de função: descreve funções a serem realizadas pelo funcionário.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
DG	Diretor Técnico de Departamento ou Diretor Geral	Decreto nº 52167 de 1969	17/04/2025	   
Difusão do conhecimento	Setor do Sistema DG responsável pelas áreas de eventos, atendimentos fale conosco, ouvidoria, biblioteca Ital e informação tecnológica.	Decreto nº 66.417, de 30 de dezembro de 2021	17/04/2025	   
Documento	Informação e o meio no qual ela está contida.	ABNT NBR ISO 9000:2015	17/04/2025	   
Documento da qualidade	Documentação que estabelece os procedimentos do SGQ.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
DOE	Diário Oficial do Estado	https://www.imprensaoficial.com.br/	17/04/2025	   
DPME	Departamento de Perícias Médicas do Estado de São Paulo	www.dpme.saude.sp.gov.br	17/04/2025	   
DT	Diretor Técnico de Divisão (Diretor de Unidade)	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
EAIP	Escritório de Apoio Institucional ao Pesquisador	http://www.fapesp.br/eaip	17/04/2025	   
EEB	Empréstimo entre Bibliotecas	www.iqsc.usp.br/eeb/	17/04/2025	   
Eficácia	Extensão na qual atividades planejadas são realizadas e resultados planejados são alcançados.	ABNT NBR ISO 9000:2015 ABNT NBR ISO 19011:2018	17/04/2025	   
EFP	Estatuto dos Funcionários Públicos Civis do Estado.	Lei nº 10.261, de 28 de outubro de 1968	17/04/2025	   
Eime	Equipamento passível de calibração e/ou verificação, que tenha efeito significativo sobre o resultado obtido em ensaios/análises, projetos e demais processos de realização do produto.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Embalagens contaminadas com produtos químicos	São consideradas embalagens contaminadas os recipientes que contenham produtos químicos, que possam ser agressivos à saúde e ao meio ambiente. Exemplos: embalagens de vidro, plásticas, metálicas ou papel; sacos plásticos e de papel; bombonas plásticas; barricas de papelão; tambores (metálicos e não-metálicos); entre outras. As embalagens que, por qualquer motivo, não puderem ser descontaminadas deverão ser classificadas como resíduos perigosos.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Embrapa	Empresa Brasileira de Pesquisa Agropecuária.	www.embrapa.br	17/04/2025	   
EPC	Equipamento de Proteção Coletiva	NR 06 - Norma Regulamentadora do Trabalho	17/04/2025	   
EPI	Equipamento de Proteção Individual	NR 06 - Norma Regulamentadora do Trabalho	17/04/2025	   
Equipamento desativado	Equipamento que se encontra sem condições de operação devendo ser segregado e/ou adequadamente identificado conforme descrito no PQ-08.02. Sua numeração poderá ser reutilizada a critério da Unidade, desde que seja mantida a rastreabilidade das informações referentes ao equipamento desativado.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Equipamento inativo (ou fora de uso)	Equipamento que se encontra fora de uso temporariamente, podendo ser reativado, desde que comprovado que está em condições de atender as especificações requeridas para uso.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Erro absoluto (EA)	Diferença entre o valor correto e o valor obtido experimentalmente. O valor pode ser negativo ou positivo.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Erro de medição (E)	Diferença entre o valor medido de uma grandeza e um valor de referência.	VIM 2012 - item 2.16	17/04/2025	   
Erro máximo do equipamento (EME) ou Incerteza total	É a soma da tendência ou erro com a incerteza expandida.	ISO 14253	17/04/2025	   
Estagiário	Indivíduo vinculado a instituições de ensino regular, cumprindo estágio obrigatório (curricular) ou não-obrigatório (não-curricular), definido junto a um orientador do corpo técnico do Ital e registrado no NTC.	Lei nº 11.788, de 25 de setembro de 2008, com adaptação para o Sistema de Gestão da Qualidade do Ital.	17/04/2025	   
Estágio	Ato educativo escolar supervisionado, desenvolvido no ambiente de trabalho, que visa à preparação para o trabalho produtivo de educandos que estejam frequentando o ensino regular em instituições de educação superior, de educação profissional, de ensino médio, da educação especial e dos anos finais de ensino fundamental, na modalidade profissional da educação de jovens e adultos.	Lei nº 11.788, de 25 de setembro de 2008.	17/04/2025	   
Evento	Atividades com finalidade de treinamento (cursos) e transferência de conhecimento técnico científico (seminários, workshops etc., programado pelo Ital e aberto à participação de qualquer interessado	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Eventos	Área responsável pelo apoio aos eventos realizados pelo Ital	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Evidência objetiva	Dados que apoiam a existência ou a veracidade de alguma coisa.	ABNT NBR ISO 9000:2015 ABNT NBR ISO 19011:2018	17/04/2025	   
FA	Fundação de Apoio: Fundação que mantém contrato com a Apta/SAA, visando à contratação de serviços especializados ou projetos para atendimento de seus usuários	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Fapesp	Fundação de Amparo à Pesquisa do Estado de São Paulo	http://www.fapesp.br/	17/04/2025	   
FAT	Ficha de Autorização de Trânsito	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Fator de abrangência (K)	Número maior do que um (1) pelo qual uma incerteza-padrão combinada é multiplicada para se obter uma incerteza de medição expandida. Um fator de abrangência é geralmente simbolizado por k. Fator citado no certificado de calibração	VIM 2012 - item 2.38	17/04/2025	   
FDS	Ficha de Dados de Segurança	ABNT NBR 14725	17/04/2025	   
FED	Fundo Especial de Despesas	http://www.saopaulo.sp.gov.br/	17/04/2025	   
Finep	Empresa pública brasileira de fomento à ciência, tecnologia e inovação.	http://www.finep.gov.br/	17/04/2025	   
FISPQ	Ficha de Informações de Segurança de Produto Químico	ABNT NBR 14725-2	17/04/2025	   
Fogo	Toda combustão acompanhada de desenvolvimento de luz, calor e, geralmente, de chamas.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Fonte de ignição	É o elemento que dá início ao fogo; é ela que faz o fogo se manter e propagar pelo combustível.	http://www.corpodebombeiros.sp.gov.br/	17/04/2025	   
Fornecedor	Provedor externo/fornecedor externo: provedor que não pertence à organização. Exemplo: produtor, distribuidor, varejista ou vendedor de um produto ou de um serviço.	ABNT NBR ISO 9000:2015	17/04/2025	   
