Status;Palavra_Sigla;Definicao;Referencia;Data_Atualizacao;Data_Agendamento;Responsavel_Agendamento;Data_Arquivamento;Responsavel_Arquivamento;Descricao_Historico
ATIVO;"Condição de repetitividade de medição";"Condição de medição num conjunto de condições, as quais compreendem o mesmo procedimento de medição, os mesmos operadores, o mesmo sistema de medição, as mesmas condições de operação e o mesmo local, assim como medições repetidas no mesmo objeto ou em objetos similares durante um curto período de tempo.";"VIM 2012";2025-04-17;;;;;
ATIVO;Confidencialidade;"Ato de zelar pela propriedade da informação que não pode ser disponibilizada ou divulgada sem autorização. É a garantia do resguardo das informações acessadas e da proteção contra revelação não autorizada. Equivalente a Sigilo.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Cópia controlada";"Cópia de um documento controlada por meio de lista mestra de documentos.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Cópia não controlada";"Cópia de um documento que não é controlada e, portanto, não deve ser utilizada para realização de atividades rotineiras de trabalho (Ex.: cópias cedidas para estudo ou para conhecimento do procedimento em um determinado momento).";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;CORH;"Coordenadoria de Recursos Humanos";"Decreto nº 66.417, de 30 de dezembro de 2021";2025-04-17;;;;;
ATIVO;Correção;"Ação para eliminar uma não conformidade identificada.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;CPF;"Cadastro de Pessoas Físicas";https://idg.receita.fazenda.gov.br/;2025-04-17;;;;;
ATIVO;CPG;"Comitê de Pós-Graduação";"Regimento Interno do Programa  de  Pós-Graduação (03 de junho de 2015)";2025-04-17;;;;;
ATIVO;CPRTI;"Comissão Permanente do Regime de Tempo Integral - Comissão da Secretaria de Planejamento e Gestão do Governo do Estado de São Paulo composta por pesquisadores científicos escolhidos pelo governador a partir de listas recebidas após eleições especiais; suas atribuições são planejar, organizar e executar a avaliação da atividade científica e técnica dos pesquisadores científicos e os concursos para ingresso e acesso na carreira (Leis Complementares nº 125, de 18 de novembro de 1975, nº 335, de 22 de dezembro de l983, e nº 656, de 28 de junho de 1991 - Anexo 1), além de formular e propor regulamentação sobre aspectos referentes ao Regime de Tempo Integral e opinar decisivamente sobre a movimentação do pessoal científico.";https://pesquisador.planejamento.sp.gov.br/Home/Cprti;2025-04-17;;;;;
ATIVO;CRM;"Conselho Regional de Medicina.";www.cremesp.org.br/;2025-04-17;;;;;
ATIVO;CTC;"Centro de Tecnologia de Carnes";"Decreto nº 46.488 de 8 de janeiro de 2002";2025-04-17;;;;;
ATIVO;Custeio;"Recursos financeiros necessários para aquisição de produtos não duráveis (material de consumo, drogas, reagentes, diárias, treinamentos, serviços terceirizados, combustíveis etc.). Despesas gerais não incluídas em investimentos ou pessoal.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;Dados;"Informações quantificáveis sobre um determinado assunto.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Declaração de Razoabilidade";"É um documento emitido pelo fornecedor, no qual ele declara, sob as penas da lei, que os valores praticados estão de acordo com os valores praticados no mercado.";"Definido pelo Centro de Atividade Administrativa.";2025-04-17;;;;;
ATIVO;DEMEX;"Divisão Estadual de Material Excedente.";http://www.saopaulo.sp.gov.br/;2025-04-17;;;;;
ATIVO;DETIN;"Departamento de Transportes Internos";www.gcti.sp.gov.br;2025-04-17;;;;;
ATIVO;DF;"Descrição de função: descreve funções a serem realizadas pelo funcionário.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
