ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
IT-07.03.06	Checagem intermediária de dispositivos de medição de temperatura		IT	Coordenadora Time de Metrologia/Eimes	6	13/11/24	13/11/27	Intranet RA-110	   
IT-08.01.01	Tratamento a sugestões ou reclamações de clientes		IT	RA	19	18/02/25	18/02/28	Intranet RA-110	   
IT-08.01.02	Análise de satisfação e insatisfação de clientes		IT	RA	25	17/04/25	16/04/28	Intranet RA-110	   
IT-08.01.03	Programa e plano de auditorias		IT	RA	25	23/02/26	23/02/29	Intranet RA-110	   
IT-08.01.04	Monitoramento, medição, análise e avaliação - indicadores de desempenho		IT	RA	27	21/10/25	20/10/28	Intranet RA-110	   
PQ-04.01	Sistema de Gestão da Qualidade		PQ	RA	20	15/05/26	15/05/29	Intranet RA-110	   
PQ-04.02	Controle de documentos		PQ	RA	38	02/02/26	02/02/29	Intranet RA-110 RA-56	   
PQ-04.03	Controle de registros		PQ	RA	19	17/04/25	16/04/28	Intranet RA-110	   
PQ-04.04	Fatores estratégicos		PQ	RA	18	18/02/25	18/02/28	Intranet RA-110	   
PQ-04.05	Gestão de Mudanças		PQ	RA	0	15/05/26	15/05/29	Intranet	   
PQ-05.01	Responsabilidade da alta direção		PQ	Diretora Geral	33	09/04/26	09/04/29	Intranet RA-110 RA-56	   
PQ-06.01	Gestão de recursos		PQ	RA	17	12/06/25	11/06/28	Intranet RA-110	   
PQ-06.02	Competência, conscientização e treinamento		PQ	RA	41	17/04/26	17/04/29	Intranet RA-110	   
PQ-07.01	Realização de produto e serviço		PQ	RA	31	02/06/26	02/06/29	Intranet RA-110 RA-56	   
PQ-07.02	Planejamento e controle de projeto e desenvolvimento		PQ	RA	30	18/11/22	30/09/26	Intranet RA-110	   
PQ-07.03	Gestão de equipamentos		PQ	Coordenadora Time de Metrologia/Eimes	29	19/11/25	18/11/28	Área do aluno Extranet Intranet RA-110	   
PQ-07.04	Aquisição		PQ	RA	34	09/04/26	09/04/29	Intranet RA-110 RA-56	   
PQ-08.01	Melhorias		PQ	RA	16	17/04/26	17/04/29	Intranet RA-110	   
PQ-08.02	Controle de insumo, atividade e produto não conformes		PQ	RA	14	18/02/25	18/02/28	Intranet RA-110	   
PQ-08.03	Ação corretiva e ação preventiva		PQ	RA	25	17/04/25	16/04/28	Intranet RA-110	   
Total: 229 registros.


OBSOLETOS:
Histórico de Documentos Obsoletos
Código	Nome	Autor	Rev.	Vigor (Era)	Data Obsoleto	Responsável	Categoria	Locais (Histórico)	Ações
FQ-04.01	Lista Mestra de 15/05/2026	RA	0	15/05/2026	 12/06/2026	Daiana Guimarães de Sousa	LM	Intranet	
FQ-04.01	Lista Mestra de 02/06/2026	RA	0	02/06/2026	 12/06/2026	Daiana Guimarães de Sousa	LM	Intranet	
FQ-08.31	Controle de Melhorias	RA	1	09/04/2026	 12/06/2026		FQ	Intranet RA-25 RA-56	
IT-06.01.08	Emissão de recibo do fundo especial de despesas - FED	Diretora do Centro de Atividade Administrativa	10	12/06/2025	 12/06/2026		IT	Intranet RA-110	
FQ-07.15	Programação de evento	RA	7	21/06/2024	 02/06/2026		FQ	Intranet RA-25 RA-56	
IT-07.01.03	Difusão do conhecimento	Analista de eventos (Eventos - DG)	33	18/02/2025	 02/06/2026		IT	Intranet RA-110	
PQ-07.01	Realização de produto e serviço	RA	30	12/06/2025	 02/06/2026		PQ	Intranet RA-110	
FQ-04.01	Lista Mestra de 17/04/2026	RA	0	17/04/2026	 15/05/2026	Daiana Guimarães de Sousa	LM	Intranet	
FQ-06.60	Mapeamento e amostragem - Avaliação 5S	RA	1	19/09/2024	 15/05/2026		FQ	Intranet RA-25 RA-56	
IT-05.01.04	Objetivos da qualidade e indicadores correlacionados	RA	15	05/01/2026	 15/05/2026		IT	Intranet RA-25	
IT-06.01.09	Programa 5S	CoordenadoraTime 5S	13	19/09/2024	 15/05/2026		IT	Área do aluno Extranet Intranet RA-110	
PQ-04.01	Sistema de Gestão da Qualidade	RA	19	18/02/2025	 15/05/2026		PQ	Intranet RA-110	
IT-06.01.02	Conduta em caso de acidente e incidente	Coordenador Time Segurança Presidente Cipa	15	02/02/2026	 17/04/2026		IT	Área do aluno Extranet Intranet RA-110 RA-56	
IT-07.01.07	Programa de Pós-Graduação stricto sensu	Reitora da Pós-Graduação	20	02/02/2026	 17/04/2026		IT	Área do aluno Intranet RA-110	
PQ-06.02	Competência, conscientização e treinamento	RA	40	02/02/2026	 17/04/2026		PQ	Intranet RA-110 RA-56	
PQ-08.01	Melhorias	RA	15	03/02/2025	 17/04/2026		PQ	Intranet RA-110	
FQ-04.11	Definições e siglas (Acesso não liberado - entre em contato com Setor RA-DG)	RA	0	18/07/2017	 09/04/2026		FQ	RA-25 RA-56	
FQ-06.40	Cadastro de veículos	RA	6	08/07/2022	 09/04/2026		FQ	Intranet RA-25 RA-56	
FQ-08.31	Controle de melhorias	RA	0	15/12/2017	 09/04/2026		FQ	Intranet RA-25 RA-56	
LM	Lista Mestra 23.02.26	RA	0	23/02/2026	 09/04/2026	Daiana Guimarães Sousa	LM	Intranet	
PQ-05.01	Responsabilidade da alta direção	Diretora Geral	32	23/02/2026	 09/04/2026		PQ	Intranet RA-110	
PQ-07.04	Aquisição	RA	33	23/02/2026	 09/04/2026		PQ	Intranet RA-110	
FQ-04.01	Lista Mestra de 02/02/2026	RA	0	02/02/2026	 23/02/2026	Daiana Guimarães Sousa	LM	Intranet	
FQ-08.17	Avaliação de auditoria interna	RA	4	13/10/2011	 23/02/2026		FQ	Intranet RA-25 RA-56	
IT-04.02.01	Elaboração de documentos do SGQ	RA	23	17/04/2024	 23/02/2026		IT	Intranet RA-110	
IT-08.01.03	Programa e plano de auditorias	RA	24	18/07/2023	 23/02/2026		IT	Intranet RA-110	
PQ-05.01	Responsabilidade da alta direção	Diretora Geral	31	17/04/2025	 23/02/2026		PQ	Intranet RA-110	
PQ-07.04	Aquisição	RA	32	19/11/2025	 23/02/2026		PQ	Intranet RA-110	
FQ-04.01	Lista Mestra - 05/01/2026	RA	0	05/01/2026	 02/02/2026	Daiana Guimarães Sousa	LM	Intranet RA-25	
FQ-06.06	Registro e relatório de investigação de acidente de trabalho	RA	6	10/05/2019	 02/02/2026		FQ	Intranet RA-25 RA-56	
FQ-06.46	Registro de incidente de trabalho	RA	0	10/05/2019	 02/02/2026		FQ	Intranet RA-25 RA-56	
FQ-07.54	Controle de projetos, bolsas e demais auxílios (fomento e outros recursos)	RA	2	12/06/2025	 02/02/2026		FQ	Intranet RA-25 RA-56	
FQ-08.15	Análise financeira de evento	RA	10	05/07/2024	 02/02/2026		FQ	Intranet RA-25 RA-56	
IT-06.01.02	Conduta em caso de acidente e incidente	Coordenador Time SegurançaPresidente Cipa	14	13/11/2024	 02/02/2026		IT	Extranet Intranet RA-110	
IT-06.01.15	Recursos Humanos	Diretora Geral	10	16/10/2024	 02/02/2026		IT	Intranet RA-110	
IT-06.02.01	Matriz de versatilidade	RA	14	04/04/2024	 02/02/2026		IT	Intranet RA-110	
IT-07.01.07	Programa de pós-graduação stricto sensu	Reitora da Pós-Graduação	19	11/07/2025	 02/02/2026		IT	Intranet RA-110	
PQ-04.02	Controle de documentos	RA	37	13/05/2025	 02/02/2026		PQ	Intranet RA-110	
PQ-06.02	Competência, conscientização e treinamento	RA	39	23/09/2025	 02/02/2026		PQ	Intranet RA-110	
DO-01	Missão	Diretora Geral	5	21/12/2017	 05/01/2026		DO	Intranet Manual da Qualidade Site do Ital Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	
DO-02	Visão	Diretora Geral	3	21/01/2020	 05/01/2026		DO	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	
DO-03	Valores	Diretora Geral	6	21/01/2020	 05/01/2026		DO	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	
DO-04	Política	Diretora Geral	7	07/01/2019	 05/01/2026		DO	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	
DO-05	Código de ética	Diretora Geral	4	21/12/2017	 05/01/2026		DO	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	
FQ-04.01	Lista Mestra de 16/12/25	RA	0	16/12/2025	 05/01/2026		LM	Intranet RA-25	
IT-05.01.04	Objetivos da qualidade e indicadores correlacionados	Diretora Geral	14	26/01/2024	 05/01/2026	Cinthia Ronchesel	IT	Intranet RA-110	
IT-05.01.04	Objetivos da qualidade e indicadores correlacionados	Diretora Geral	14	26/01/2024	 05/01/2026	Cinthia Ronchesel	IT	Intranet RA-25	
05.01.04	Objetivos da qualidade e indicadores correlacionados	RA	15	05/01/2026	 01/01/2026		IT	Intranet RA-25	
IT-05.01.04	Objetivos da qualidade e indicadores correlacionados	Diretora Geral	15	05/01/2026	 01/01/2026		IT	Intranet RA-25	
FQ-04.01	Lista mestra de documentos do sistema de gestão da qualidade	RA	8	08/11/2021	 16/12/2025		LM	Intranet RA-25 RA-56	
FQ-06.16	Avaliação 5S - Áreas externas	RA	8	01/09/2022	 16/12/2025		FQ	Intranet RA-25 RA-56	
IT-06.02.02	Palestras e treinamentos internos	RA	6	16/10/2024	 16/12/2025		IT	Intranet RA-110	
IT-07.01.10	Orientação para cálculos da incerteza de medição	RA	2	18/02/2025	 16/12/2025		IT	Intranet RA-110	
Total: 53 documentos obsoletos.

Manuais:
Manuais ATIVOS
ID	Tipo	Manual	Distribuição	Rev.	Vigor	Ações
3	Nao_Controlado	Manual da qualidade	DQS, INMETRO	28	09/05/2025	  
15	Controlado	Manual de Segurança do Trabalho	Intranet	6	02/02/2026	   
16	Controlado	Manual de Segurança do Trabalho	Extranet	6	02/02/2026	   
17	Controlado	Manual de Segurança do Trabalho	Área do aluno	6	02/02/2026	   
18	Controlado	Manual da Qualidade	Intranet	30	02/06/2026	   
total: 5
OBSOLETOS:
 Histórico de Manuais
ID	Arquivo / Nome Antigo	Data Arquivamento	Responsável	Descrição	Ações
35	Manual da Qualidade
MQ_rev29_2026.pdf	02/06/2026 07:50	Daiana Guimarães de Sousa	nova revisão em vigor	 
27	Manual de Segurança do Trabalho
MS_rev5_2023.pdf	02/02/2026 08:10	Daiana Guimarães Sousa	Nova revisão em vigor em 02/02/2026	 
25	Manual da Qualidade
MQ_rev28_2025 - Intranet.pdf	05/01/2026 08:05	Cinthia Ronchesel	Nova revisão publicada.	 
19	MS - Manual de Segurança do Trabalho (Antigo)
MS_ rev05 2023 I.pdf	11/12/2025 15:30	Sistema	Substituído na edição	 
18	Manual da Qualidade (Antigo)
MQ_rev28 2025 - Intranet.pdf	11/12/2025 15:30	Sistema	Substituído na edição
TOTAL:5	 

Relatórios:
Relatórios ATIVOS:
ID	Relatório	Ano	Alteração	Ações
1	Relatórios o relatório da 6ª Gincana	2025	04/12/2025	   
2	Relatório de Avaliação do Programa 5S	2025	04/12/2025	   
4	Relatório da Pesquisa de Clima Organizacional	2024	14/01/2026	   
7	Relatório Pesquisa de Satisfação de Cliente Externo	2025	20/03/2026	
Total: 4   

OBSOLETOS:
Arquivo / Nome Antigo	Data Arquivamento	Responsável	Descrição	Ações
26	Relatório da Pesquisa de Satisfação de Cliente Externo
Relatorio-CE-2024-rev00-Intranet.pdf	29/01/2026 10:09	Cinthia Ronchesel	Pesquisa de satisfação de 2025 foi concluída.
Total: 1
