ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
FQ-07.33	Solicitação de trancamento do curso		FQ	RA	1	13/12/21	-	Área do aluno Intranet RA-25 RA-56	   
FQ-07.34	Solicitação de desligamento do curso		FQ	RA	1	13/12/21	-	Área do aluno Intranet RA-25 RA-56	   
FQ-07.37	Controle de resíduos químicos		FQ	RA	2	20/10/23	-	Intranet RA-25 RA-56	   
FQ-07.40	Certificado de disciplinas cursadas como aluno especial		FQ	RA	1	04/07/16	-	Intranet RA-25 RA-56	   
FQ-07.43	Termo de sigilo e confidencialidade - Projeto de dissertação		FQ	RA	1	21/11/23	-	Intranet RA-25 RA-56	   
FQ-07.44	Termo de responsabilidade de bens patrimoniais		FQ	RA	0	22/04/19	-	Intranet RA-25 RA-56	   
FQ-07.45	Comunicado de invenção		FQ	RA	0	07/06/19	-	Intranet RA-25 RA-56	   
FQ-07.46	Avaliação dos requisitos de patenteabilidade NIT		FQ	RA	0	07/06/19	-	Intranet RA-25 RA-56	   
FQ-07.47	Formulário de submissão de solicitação de análise em Equipamento multiusuário (EMU) Fapesp		FQ	RA	0	17/06/19	-	Intranet RA-25 RA-56	   
FQ-07.48	Controle de registro de projetos de dissertação		FQ	RA	2	07/05/24	-	Intranet RA-25 RA-56	   
FQ-07.49	Controle de transmissões ao vivo		FQ	RA	1	02/01/24	-	Intranet RA-25 RA-56	   
FQ-07.50	Registro de diplomas		FQ	RA	0	21/09/20	-	Intranet RA-25 RA-56	   
FQ-07.52	Controle de termos e acordos		FQ	RA	1	02/01/23	-	Intranet RA-25 RA-56	   
FQ-07.53	Controle de atendimentos via fale conosco, ouvidoria e SIC		FQ	RA	1	27/04/22	-	Intranet RA-25 RA-56	   
FQ-07.54	Controle de projetos, bolsas e demais auxílios (fomento e outros recursos)		FQ	RA	3	02/02/26	-	Intranet RA-25 RA-56	   
FQ-07.55	Aprovação do certificado de calibração dos filtros		FQ	RA	1	19/09/24	-	Intranet RA-25 RA-56	   
FQ-07.56	Determinação do erro máximo do equipamento (EME) através da incerteza gerada pela curva de regressão		FQ	RA	2	19/09/24	-	Intranet RA-25 RA-56	   
FQ-07.57	Termo de Autorização - Dissertação		FQ	RA	1	18/02/25	-	Intranet RA-25 RA-56	   
FQ-07.58	Termo de conhecimento, confidencialidade e imparcialidade - serviços prestados à Vigilância Sanitária		FQ	RA	1	28/06/22	-	Intranet RA-25 RA-56	   
FQ-07.59	Termo de manifestação de conflito de interesses, impedimento e suspeição - serviços prestados à Vigilância Sanitária		FQ	RA	0	13/12/21	-	Intranet RA-25 RA-56	   
FQ-07.60	Avaliação de conflito de interesse da instituição - serviços prestados à Vigilância Sanitária		FQ	RA	0	13/12/21	-	Intranet RA-25 RA-56	   
FQ-07.61	Avaliação de conflito de interesse da equipe - serviços prestados à Vigilância Sanitária		FQ	RA	0	13/12/21	-	Intranet RA-25 RA-56	   
FQ-07.62	Verificação da capacidade para realização de ensaio/análise		FQ	RA	1	13/10/22	-	Intranet RA-25 RA-56	   
FQ-07.63	Controle de estoque de produtos controlados		FQ	RA	1	21/10/25	-	Intranet RA-25 RA-56	   
FQ-07.64	Solicitação de Coorientação		FQ	RA	0	21/11/23	-	Intranet RA-25 RA-56	   
